OBJECTID,Valor en pesos ($),Localidad,Sector Catastral,Identificador único de la manzana,coord_x,coord_y
89317,112000,CHAPINERO,INGEMAR,,"-74,056485979","4,641168033152407"
89413,340000,CHAPINERO,SIBERIA,,"-74,05786649700002","4,631039491152061"
89454,600000,TEUSAQUILLO,CAMPIN OCCIDENTAL,,"-74,08003564950002","4,646921936652593"
89614,3000000,CHAPINERO,INGEMAR,,"-74,057972766","4,638791470652315"
91177,390000,PUENTE ARANDA,ESTACION CENTRAL,,"-74,09540989300001","4,617704798651632"
91182,2500000,LOS MARTIRES,RICAURTE,,"-74,09145207450001","4,612148898151439"
91359,96500,CHAPINERO,EL PARAISO,008110005,"-74,05957104299998","4,627386256651965"
91428,2300000,CHAPINERO,SUCRE,008112005,"-74,06803419549999","4,629038488151992"
91584,3400000,CHAPINERO,LA SALLE,008206012,"-74,0583288315","4,643113615652458"
91630,750000,PUENTE ARANDA,RICAURTE,,"-74,09383776700002","4,611639364151449"
91649,750000,LOS MARTIRES,RICAURTE,,"-74,09333837700001","4,61203336065144"
91680,1020000,CHAPINERO,MARIA CRISTINA,008205008,"-74,05630652300002","4,6455622561525445"
91709,750000,LOS MARTIRES,RICAURTE,,"-74,092150659","4,613471686651486"
91730,660000,TEUSAQUILLO,QUINTA PAREDES,,"-74,09449853449999","4,634305817652178"
91737,3000000,CHAPINERO,INGEMAR,008215009,"-74,0582697015","4,639971867652365"
91823,340000,CHAPINERO,SIBERIA CENTRAL,008220070,"-74,0599851945","4,631491155152101"
91936,530000,CHAPINERO,SIBERIA CENTRAL,008220028,"-74,0603920735","4,632932603652124"
92230,81000,TEUSAQUILLO,CIUDAD SALITRE NOR-ORIENTAL,,"-74,09646785800001","4,638975750652305"
92245,600000,TEUSAQUILLO,SAN LUIS,,"-74,07384654750001","4,646014331152557"
92247,600000,TEUSAQUILLO,GALERIAS,,"-74,07273534149999","4,642213527152456"
92270,1300000,PUENTE ARANDA,CUNDINAMARCA,,"-74,08837686550001","4,621922824151792"
92320,540000,TEUSAQUILLO,PALERMO,,"-74,07439105699999","4,637378084652271"
92400,600000,TEUSAQUILLO,LA SOLEDAD,,"-74,07545707","4,6339310626521435"
92413,1800000,TEUSAQUILLO,TEUSAQUILLO,,"-74,072744021","4,62410916565183"
92486,780000,TEUSAQUILLO,QUESADA,,"-74,0682206445","4,640636300152361"
92488,600000,TEUSAQUILLO,BANCO CENTRAL,,"-74,07196159699998","4,641503989652399"
92496,660000,LOS MARTIRES,EL LISTON,,"-74,0854888485","4,609244096151352"
92530,420000,LOS MARTIRES,LA FLORIDA OCCIDENTAL,,"-74,0856505475","4,6216520551517615"
92541,1400000,SANTA FE,LAS NIEVES,,"-74,0680750905","4,6087338896513375"
92546,600000,TEUSAQUILLO,GALERIAS,,"-74,07602413699999","4,643535566652465"
92567,780000,TEUSAQUILLO,QUESADA,,"-74,06882449099999","4,640928849652392"
92569,450000,LOS MARTIRES,FLORIDA,,"-74,0780937975","4,622321348151766"
92577,600000,TEUSAQUILLO,GALERIAS,,"-74,07636957599999","4,644644786652517"
92579,1050000,TEUSAQUILLO,BANCO CENTRAL,,"-74,07111288799999","4,641130699652392"
92745,1800000,TEUSAQUILLO,ARMENIA,,"-74,074625244","4,618894771151659"
92764,600000,TEUSAQUILLO,GALERIAS,,"-74,07741022100001","4,642170646152412"
92780,780000,TEUSAQUILLO,BELALCAZAR,,"-74,0775165425","4,642542806652457"
92810,2300000,SANTA FE,SAGRADO CORAZON,,"-74,06846763000001","4,627251022651964"
92825,750000,TEUSAQUILLO,EL RECUERDO,,"-74,08684812850001","4,632920247152143"
92908,1050000,TEUSAQUILLO,BANCO CENTRAL,,"-74,069563416","4,641070818152368"
92955,600000,TEUSAQUILLO,CAMPIN OCCIDENTAL,,"-74,07920064950002","4,646214147152553"
92958,2300000,TEUSAQUILLO,ALFONSO LOPEZ,,"-74,0746304125","4,6387208461523"
