Nombre,Localidad,Tipo de Atractivo,Ubicación,coord_x,coord_y
Parque El Renacimiento,Los Mártires,3,CL 26 con KR 22,"-74,07731089979326","4,619633391271634"
Parque Santander,Santa Fe,3,AK 7 AC 13,"-74,07261789862808","4,601949809910889"
Parque Tercer Milenio,Santa Fe,3,AC 6 # 11 - 14,"-74,08163499970217","4,597396771137542"
Parque Metropolitano Timiza - Villa del Río,Kennedy,3,Calle 56 A Sur Carrera 85,"-74,15437699970862","4,609149999938883"
Planetario de Bogotá,Santa Fe,3,CL 28 # 5 - 93,"-74,06691936375805","4,614163740245118"
Plaza de Bolívar,Candelaria,3,Entre las KR 7 y 8 y entre la CL 10 y 11,"-74,07611200013024","4,598094999908957"
Plaza de Los Mártires,Los Mártires,3,AV Caracas y KR 15 entre CL 10 y11,"-74,08182399984807","4,601846622684536"
Plaza Cultural la Santa María,Santa Fe,3,KR 6 # 26 - 50,"-74,06809274947037","4,612876067733878"
Plaza del Chorro de Quevedo,Candelaria,3,CL 13 KR 2,"-74,06968778730906","4,597228881621452"
Plazoleta de Antonio Nariño,Santa Fe,3,AC 13 entre KR 12 y 13,"-74,0784470000314","4,601925999817226"
Plazoleta de Las Nieves,Santa Fe,3,KR 7 entre CL 20 y 21,"-74,07151699977267","4,606391999594106"
Plazoleta del Concejo,Teusaquillo,3,AC 26 con Transversal 45,"-74,07823219218572","4,62484300027791"
Plazoleta del Rosario,Candelaria,3,Eje Ambiental KR 6 y 7,"-74,07290299964474","4,6007180002832175"
Plazoleta La Rebeca,Santa Fe,3,KR 13 CL 25,"-74,07147999996275","4,612283000137995"
Plazoleta Rufino José Cuervo,Candelaria,3,CL 10 entre KR 7 y 6,"-74,07527699990398","4,5971539998955695"
Portal Américas,Kennedy,3,AV Ciudad de Cali con AV Ciudad de Villavicencio,"-74,17336732732272","4,6300947113075965"
Sala de Conciertos - Manzana Norte - Biblioteca Luis Ángel Arango,Candelaria,3,CL 11 # 4 - 14,"-74,07282525494848","4,596999135181342"
Sector Comercial de la Calle 53,Teusaquillo,3,CL 53 entre KR 24 y AV Caracas,"-74,07023600038089","4,641129000381837"
Sitio del Asesinato de Jorge Eliecer Gaitán,Candelaria,3,KR 7 con CL 14,"-74,07355600029614","4,601257999708582"
Talla en madera de la iglesia de La Tercera,Santa Fe,3,"KR 7 CL 16, ESQ suroccidental","-74,0730399999121","4,602807999796602"
Teatro al Aire Libre de La Media Torta,Candelaria,3,CL 18 # 1 - 05,"-74,066642427529","4,600907985270388"
Teatro de Cristóbal Colón,Candelaria,3,CL 10 #  5 - 32,"-74,07431058693142","4,596750207751667"
Teatro El Parque,Santa Fe,3,KR 5 # 36 - 05,"-74,06368500023883","4,622980000253245"
Teatro Faenza - Auditorio Universidad Central,Santa Fe,3,CL 22 # 5 - 66,"-74,06915876315006","4,607063168225479"
Teatro Jorge Eliecer Gaitán,Santa Fe,3,KR 7 # 22 - 47,"-74,07094178783498","4,608780400485399"
Telón de Boca del Teatro de Cristóbal Colón,Candelaria,3,CL 11 # 2 - 78,"-74,07144046241214","4,596063645967299"
Templete de Bolívar,Santa Fe,3,Parque de Los Periodistas,"-74,06923100027531","4,601165999762465"
Torre del reloj del Parque Nacional,Santa Fe,3,Parque Nacional Enrique Olaya Herrera,"-74,06442800040358","4,624005999601208"
Zona Comercial de San Victorino,Santa Fe,3,Entre el Eje Ambiental y la CL 10 y entre la KR 10 y la AV Caracas,"-74,07823671340655","4,601704000271549"
