Identificador del parque,Estrato,Localidad,Estado Certificación,Clasificación del Parque,Nombre del Parque,Código Localidad,coord_x,coord_y
16-006,3,Puente Aranda,CERTIFICADO,Vecinal,LAS CARABELAS,16,"-74,11152543736307","4,608778071437767"
16-009,3,Puente Aranda,CERTIFICADO,Vecinal,MUZÚ (MURANO I),16,"-74,12927943745701","4,598661542977164"
16-017,3,Puente Aranda,CERTIFICADO,Vecinal,VILLA SONIA,16,"-74,12531082066896","4,5956627042464255"
16-063,3,Puente Aranda,CERTIFICADO,Vecinal,EL SOL,16,"-74,11548475299469","4,613959002398365"
08-006,2,Kennedy,CERTIFICADO,Vecinal,RIVERAS DE OCCIDENTE,8,"-74,16853597257821","4,642887379829187"
08-186,2,Kennedy,CERTIFICADO,Vecinal,"DESARROLLO CAMPO HERMOSO, DESARROLLO PATIO BONITO II SECTOR",8,"-74,16319006059317","4,640150846125104"
08-030,3,Kennedy,CERTIFICADO,Vecinal,CASTILLA,8,"-74,14338275789814","4,640016678917528"
08-031,3,Kennedy,CERTIFICADO,Vecinal,MARSELLA SECTOR NORTE PRIMERA I ETAPA,8,"-74,13039322803508","4,632021821084073"
02-195,4,Chapinero,CERTIFICADO,Bolsillo,ARBOS II,2,"-74,05995835769812","4,6382324660939"
08-038,3,Kennedy,CERTIFICADO,Vecinal,BAVARIA TECHO II (TERMINACIÓN),8,"-74,13833469043038","4,6406530492788285"
08-041,3,Kennedy,CERTIFICADO,Vecinal,CIUDAD KENNEDY ORIENTAL SUPERMANZANA 16,8,"-74,15739670360418","4,617339140876439"
08-045,2,Kennedy,INVESTIGADO NO CERTIFICADO,Vecinal,PASTRANITA II SECTOR,8,"-74,16545717750327","4,613916897002817"
13-042,4,Teusaquillo,CERTIFICADO,Bolsillo,URBANIZACIÓN DE PALERMO,13,"-74,06951381867285","4,632960691399141"
13-043,4,Teusaquillo,CERTIFICADO,Bolsillo,URBANIZACIONES SANTA TERESITA,13,"-74,07246002959837","4,631592711771655"
13-044,4,Teusaquillo,CERTIFICADO,Vecinal,URBANIZACIÓN 'RAFAEL NÚÑEZ,13,"-74,08801271797003","4,643113162534119"
13-050,4,Teusaquillo,CERTIFICADO,Vecinal,URBANIZACIÓN ARMENIA,13,"-74,07345254806224","4,617459686828085"
08-730,3,Kennedy,CERTIFICADO,Bolsillo,URBANIZACIÓN LAS AMÉRICAS,8,"-74,13478593362971","4,626110107700535"
08-728,3,Kennedy,CERTIFICADO,Vecinal,NUEVA PLANTA DE ENVASE FABRICA DE LATAS,8,"-74,13158581388912","4,643736131987323"
08-742,2,Kennedy,CERTIFICADO,Vecinal,URBANIZACIÓN NAGUARA AMÉRICAS (ANTES PORTAL DE ABASTO),8,"-74,15663671899233","4,639019513210292"
13-058,4,Teusaquillo,CERTIFICADO,Vecinal,URBANIZACIÓN EL CAMPIN,13,"-74,08010239252994","4,64619506840892"
13-064,4,Teusaquillo,CERTIFICADO,Vecinal,EL RECUERDO 2,13,"-74,08481000658986","4,6320047286823725"
13-066,4,Teusaquillo,CERTIFICADO,Bolsillo,SANTA TERESITA 2,13,"-74,0684115777344","4,630155939870969"
13-068,4,Teusaquillo,CERTIFICADO,Vecinal,"URBANIZACIÓN CIUDAD SALITRE SECTOR III SM III-3, SM III-4, SM III-5, SM III-6, SM III-7 Y SM III-8",13,"-74,10390566481513","4,643367704086588"
08-234,2,Kennedy,CERTIFICADO,Vecinal,EL PATIO TERCER SECTOR,8,"-74,16117184349213","4,642801214205189"
16-137,3,Puente Aranda,CERTIFICADO,Vecinal,BARRIO PRADERA NORTE (ANTES SALAZAR GÓMEZ),16,"-74,1181695227315","4,63418756335974"
03-064,2,Santa Fe,INVESTIGADO NO CERTIFICADO,Vecinal,LAS AGUAS,3,"-74,06422543210365","4,603958894608665"
16-385,3,Puente Aranda,CERTIFICADO,Bolsillo,URBANIZACIÓN CARABELAS I SECTOR MANZANA 59,16,"-74,11800710014163","4,605428425940158"
08-675,3,Kennedy,CERTIFICADO,Bolsillo,URBANIZACIÓN TIMIZA,8,"-74,15023612826988","4,608243069198432"
02-012,4,Chapinero,CERTIFICADO,Vecinal,SUCRE 1,2,"-74,06573087107759","4,629600165559774"
07-215,2,Bosa,CERTIFICADO,Bolsillo,URBANIZACIÓN OLARTE,7,"-74,16327979734933","4,6003810985658635"
08-751,4,Kennedy,CERTIFICADO,Vecinal,URB. MANDALAY,8,"-74,14491037627644","4,6262345376259315"
08-752,2,Kennedy,SIN CERTIFICAR,Vecinal,URB CARREFOUR ALQUERÍA LOTE 2 SUR,8,"-74,13361953591199","4,603116169035536"
16-409,3,Puente Aranda,SIN CERTIFICAR,Bolsillo,URB ESTACIÓN DE SERVICIO,16,"-74,12394981372472","4,622843300169054"
13-182,4,Teusaquillo,SIN CERTIFICAR,Vecinal,URB SENDEROS DEL SALITRE,13,"-74,0972251891437","4,636396747164829"
13-183,4,Teusaquillo,CERTIFICADO,Bolsillo,URB SENDEROS DEL SALITRE C ADIC,13,"-74,09818622165685","4,636722978616611"
08-705,3,Kennedy,CERTIFICADO,Vecinal,VILLA ALSACIA LOTE 1,8,"-74,1272584077308","4,641544161065578"
08-762,2,Kennedy,SIN CERTIFICAR,Vecinal,URB OTERO DE FRANCISCO,8,"-74,15508575789136","4,647717277969007"
08-763,3,Kennedy,SIN CERTIFICAR,Vecinal,URB BODEGAS ÉXITO,8,"-74,12413376623701","4,632382660097659"
08-764,3,Kennedy,SIN CERTIFICAR,Vecinal,URB QUINTAS DE CASTILLAS,8,"-74,13763176141552","4,638586469717641"
08-769,2,Kennedy,SIN CERTIFICAR,Vecinal,URB CARACOL,8,"-74,17018235497446","4,6465086326088585"
08-770,2,Kennedy,CERTIFICADO,Vecinal,URB PRIMAVERA,8,"-74,16389495287612","4,646563024840757"
16-047,3,Puente Aranda,CERTIFICADO,Bolsillo,TIBANÁ BARRIO LA PRIMAVERA II SECTOR,16,"-74,10891465646633","4,610860183864066"
16-048,3,Puente Aranda,CERTIFICADO,Bolsillo,TIBANÁ BARRIO LA PRIMAVERA II SECTOR,16,"-74,10940807679738","4,6108651224823785"
16-050,3,Puente Aranda,CERTIFICADO,Vecinal,LAS CARABELAS,16,"-74,11320978885144","4,6074531767661355"
16-051,3,Puente Aranda,CERTIFICADO,Vecinal,CARABELAS,16,"-74,11339663483727","4,605578734204006"
16-052,3,Puente Aranda,CERTIFICADO,Vecinal,URBANIZACIÓN NUEVA MARICUTANA,16,"-74,11287806527153","4,617244600078216"
16-053,3,Puente Aranda,CERTIFICADO,Vecinal,BARRIO PRADERA NORTE (ANTES SALAZAR GÓMEZ),16,"-74,11247718219451","4,5993357260039245"
16-112,3,Puente Aranda,CERTIFICADO,Zonal Existente,CIUDAD MONTES,16,"-74,11546801872842","4,602305096190713"
16-114,3,Puente Aranda,CERTIFICADO,Vecinal,VILLA DEL ROSARIO,16,"-74,11934441626603","4,595968066917996"
16-118,3,Puente Aranda,CERTIFICADO,Vecinal,SANTA RITA III SECTOR ETAPA A,16,"-74,12210416478635","4,602254278701293"
16-119,3,Puente Aranda,CERTIFICADO,Vecinal,LA COLONIA ORIENTAL,16,"-74,11560435289499","4,617806347676328"
16-126,3,Puente Aranda,CERTIFICADO,Vecinal,GORGONZOLA,16,"-74,10785321610976","4,615057687430172"
16-130,3,Puente Aranda,CERTIFICADO,Vecinal,LAS CARABELAS,16,"-74,11642945278851","4,605508146897955"
16-291,3,Puente Aranda,CERTIFICADO,Vecinal,LOS BUGANVILES,16,"-74,12467813721436","4,620136839847994"
16-306,3,Puente Aranda,CERTIFICADO,Vecinal,SAN ISIDRO LOTE B,16,"-74,12534124436185","4,619942363450242"
16-209,3,Puente Aranda,CERTIFICADO,Vecinal,EL TEJAR,16,"-74,12569761007748","4,607734920378521"
16-210,3,Puente Aranda,CERTIFICADO,Vecinal,EL TEJAR,16,"-74,12623223433397","4,607217089115043"
16-211,3,Puente Aranda,CERTIFICADO,Vecinal,EL TEJAR,16,"-74,12555106521023","4,606564541649259"
16-212,3,Puente Aranda,CERTIFICADO,Vecinal,EL TEJAR,16,"-74,12502270535536","4,607099034337252"
16-213,3,Puente Aranda,CERTIFICADO,Vecinal,EL TEJAR,16,"-74,1245069183212","4,607596962906808"
16-151,3,Puente Aranda,CERTIFICADO,Vecinal,URBANIZACIÓN LA CAMELIA SUR,16,"-74,12378717464084","4,616221513589345"
08-484,2,Kennedy,CERTIFICADO,Vecinal,CIUDAD DE CALI,8,"-74,17092969804445","4,637288053229781"
08-125,3,Kennedy,CERTIFICADO,Vecinal,LAS AMÉRICAS OCCIDENTAL PRIMERA ETAPA,8,"-74,13850459643575","4,627064429313988"
08-435,3,Kennedy,CERTIFICADO,Bolsillo,URBANIZACIÓN LAURELES II SECTOR,8,"-74,14290116703191","4,626137002918684"
08-434,3,Kennedy,CERTIFICADO,Bolsillo,URBANIZACIÓN LAURELES II SECTOR,8,"-74,14285475018286","4,626622113627448"
08-081,3,Kennedy,CERTIFICADO,Vecinal,KENNEDY SUPERMANZANA 1,8,"-74,14279327217974","4,621855910663616"
08-439,4,Kennedy,CERTIFICADO,Vecinal,URBANIZACIÓN MANDALAY ETAPA A SECTOR II,8,"-74,14412505333455","4,627624700922119"
08-442,4,Kennedy,CERTIFICADO,Bolsillo,MANDALAY I SECTOR,8,"-74,14575305709839","4,627877929311516"
08-407,3,Kennedy,CERTIFICADO,Vecinal,AVENIDA PRIMERO DE MAYO - LA LLANURA,8,"-74,13112872277563","4,612960962747353"
08-267,2,Kennedy,CERTIFICADO,Vecinal,URBANIZACIÓN GRAN BRITALIA,8,"-74,17074235888352","4,621807466774419"
08-262,2,Kennedy,CERTIFICADO,Vecinal,CALARCÁ,8,"-74,16853168851262","4,619839985243967"
08-269,3,Kennedy,CERTIFICADO,Bolsillo,SAN MARTIN DE PORRES II,8,"-74,16830655947348","4,61508314657854"
08-246,3,Kennedy,CERTIFICADO,Vecinal,MIRAFLORES KENNEDY,8,"-74,16754790930901","4,6153805110701605"
08-355,3,Kennedy,INVESTIGADO NO CERTIFICADO,Zonal Existente,LA AMISTAD,8,"-74,15657166389778","4,617650056623017"
08-022,3,Kennedy,CERTIFICADO,Vecinal,URBANIZACIÓN BOITÁ,8,"-74,15241885789133","4,602862792622093"
08-554,3,Kennedy,CERTIFICADO,Escenario Deportivo,CANCHA TECHO,8,"-74,13561934608371","4,624008780366909"
17-009,3,Candelaria,CERTIFICADO,Vecinal,BOLIVIA,17,"-74,0805123890155","4,595546248914925"
13-129,4,Teusaquillo,CERTIFICADO,Escenario Deportivo,UNIDAD DEPORTIVA EL CAMPIN (SECTOR LIGA DE TENIS),13,"-74,07469897084957","4,64770683068187"
13-130,4,Teusaquillo,CERTIFICADO,Escenario Deportivo,UNIDAD DEPORTIVA EL CAMPIN (SECTOR CLUB DEPORTIVO DE EMPLEADOS DISTRITALES),13,"-74,07535559216072","4,6469350650663666"
08-233,2,Kennedy,CERTIFICADO,Bolsillo,DESARROLLO VILLA ANDRÉS Y DESARROLLO SANTA MÓNICA,8,"-74,16841291955396","4,637142434050945"
08-463,2,Kennedy,CERTIFICADO,Bolsillo,VILLA NELLY,8,"-74,16697056701665","4,625289072867938"
08-114,3,Kennedy,CERTIFICADO,Bolsillo,KENNEDY NORTE SUPERMANZANA 11,8,"-74,16247856434543","4,616828479949493"
08-245,2,Kennedy,CERTIFICADO,Vecinal,URBANIZACIÓN GRAN BRITALIA,8,"-74,17275154522102","4,624726657673036"
08-103,2,Kennedy,CERTIFICADO,Bolsillo,DESARROLLO NUEVO TIMIZA,8,"-74,16228719174889","4,61245383151954"
08-098,2,Kennedy,CERTIFICADO,Bolsillo,VASCONIA I Y III SECTOR,8,"-74,16292398454675","4,613619989908831"
08-170,3,Kennedy,CERTIFICADO,Vecinal,CIUDAD KENNEDY ORIENTAL SUPERMANZANA 6,8,"-74,15025591186739","4,621629333875543"
08-542,3,Kennedy,CERTIFICADO,Vecinal,URBANIZACIÓN VILLA GALANTE,8,"-74,15007942705003","4,635782299397901"
08-088,2,Kennedy,CERTIFICADO,Bolsillo,PATIO BONITO II SECTOR,8,"-74,16338843825233","4,637405254723335"
08-090,3,Kennedy,CERTIFICADO,Bolsillo,CASTILLA,8,"-74,14190140051117","4,637609496790134"
08-032,2,Kennedy,CERTIFICADO,Vecinal,DESARROLLO TOCAREMA,8,"-74,15994719721473","4,644043313619434"
08-253,2,Kennedy,CERTIFICADO,Vecinal,"URBANIZACIÓN GRAN BRITALIA, DESARROLLO LA ESPERANZA, URBANIZACIÓN EL ALMENAR",8,"-74,16845933056396","4,622920970994217"
08-261,2,Kennedy,CERTIFICADO,Vecinal,GRAN BRITALIA,8,"-74,17238473209864","4,626701833995422"
16-326,4,Puente Aranda,CERTIFICADO,Vecinal,GORGONZOLA (SECTOR INDUSTRIAL),16,"-74,10578139743401","4,621568287283321"
14-014,3,Martires,CERTIFICADO,Vecinal,BARRIO SANTA FE,14,"-74,07972879937296","4,617414967912431"
13-014,4,Teusaquillo,CERTIFICADO,Vecinal,ACEVEDO TEJADA 2 - LINDERO UNAL URBANIZACIÓN EL RECUERDO,13,"-74,0811434119343","4,632490986874167"
13-134,4,Teusaquillo,CERTIFICADO,Vecinal,"URBANIZACIÓN CIUDAD SALITRE CUARTA ETAPA SECTOR 11 SM (1, 2, 4, 5, 7, 8)",13,"-74,10408166948295","4,646614508023232"
13-138,4,Teusaquillo,CERTIFICADO,Vecinal,"URBANIZACIÓN CIUDAD SALITRE SEGUNDA ETAPA SECTOR 11 SUPERMANZANAS SM 11-3, SM 11-6, SM 11-9",13,"-74,10673807356721","4,648338477043227"
13-139,4,Teusaquillo,CERTIFICADO,Vecinal,URBANIZACIÓN CIUDAD SALITRE SUPERMANZANA SM III- 14-15,13,"-74,09774581809722","4,641984971749926"
08-802,3,Kennedy,SIN CERTIFICAR,Vecinal,URB LAS CASTILLAS PARQUE,8,"-74,14395465145915","4,6438825568055595"
08-803,3,Kennedy,SIN CERTIFICAR,Vecinal,URB RENANIA SECTOR URAPANES PARQUE 1,8,"-74,14643063206269","4,6042834199422025"
08-356,3,Kennedy,CERTIFICADO,Vecinal,URBANIZACIÓN TIMIZA,8,"-74,15512352486255","4,616450040159296"
08-421,4,Kennedy,CERTIFICADO,Bolsillo,URBANIZACIÓN MANDALAY ETAPA C,8,"-74,1477535333709","4,629413879956633"
08-239,2,Kennedy,CERTIFICADO,Bolsillo,LLANO GRANDE,8,"-74,16301493313023","4,632125699687512"
08-101,2,Kennedy,CERTIFICADO,Vecinal,URBANIZACIÓN GRAN BRITALIA,8,"-74,17321322627646","4,618831347843402"
08-001,3,Kennedy,CERTIFICADO,Vecinal,"CASTILLA LA NUEVA, BOSQUES DE CASTILLA",8,"-74,14637621571603","4,636574656253037"
08-172,3,Kennedy,CERTIFICADO,Vecinal,URBANIZACIÓN ARBOLETE,8,"-74,17201966575033","4,614014157000828"
08-323,3,Kennedy,CERTIFICADO,Bolsillo,URBANIZACIÓN CARIMAGUA I SECTOR,8,"-74,14708622345535","4,610542695828921"
08-682,3,Kennedy,CERTIFICADO,Bolsillo,URBANIZACIÓN CARIMAGUA I SECTOR,8,"-74,14742967543961","4,610165542540278"
08-686,2,Kennedy,CERTIFICADO,Vecinal,URBANIZACIÓN PARQUES DEL TINTAL SECTOR A,8,"-74,15716202098199","4,647043985975226"
02-189,3,Chapinero,CERTIFICADO,Vecinal,INSTITUTO POLITÉCNICO GRAN COLOMBIANO,2,"-74,05652761886452","4,637524142813793"
02-192,4,Chapinero,CERTIFICADO,Bolsillo,DESARROLLO PARQUE RESIDENCIAL CRAMER 45,2,"-74,0619208608361","4,6312928935471565"
02-198,4,Chapinero,CERTIFICADO,Bolsillo,URBANIZACIÓN MARÍA CRISTINA,2,"-74,05643800472842","4,645454102003276"
13-186,4,Teusaquillo,CERTIFICADO,Vecinal,CIUDAD SALITRE IV ETAPA SECTOR II,13,"-74,10495966262955","4,6430083330558904"
13-187,4,Teusaquillo,SIN CERTIFICAR,Vecinal,PARQUE CENTRAL SALITRE CES,13,"-74,10591287890142","4,642644223886236"
08-792,3,Kennedy,SIN CERTIFICAR,Vecinal,URB CASTILLA- AMÉRICAS PARQUE 1,8,"-74,1551408457287","4,640995478184815"
08-793,2,Kennedy,SIN CERTIFICAR,Bolsillo,URB SANTA MARTA PARQUE 4,8,"-74,16760340992221","4,647664999184956"
16-412,3,Puente Aranda,SIN CERTIFICAR,Vecinal,URB PLANTA DE MEZCLAS PUENTE ARANDA PARQUE 2,16,"-74,1080807863207","4,639428593280185"
03-167,3,Santa Fe,SIN CERTIFICAR,Bolsillo,URB HOTEL IBIS CTA 2,3,"-74,06888662482294","4,614898895533161"
16-413,4,Puente Aranda,SIN CERTIFICAR,Vecinal,URB PROGAS- IVESUR PARQUE Y EQUIP,16,"-74,10304507922208","4,636755835676168"
08-794,3,Kennedy,SIN CERTIFICAR,Vecinal,URB LOS ALCAPARROS PARQUE 3,8,"-74,14150357080781","4,5978951724258526"
08-795,3,Kennedy,SIN CERTIFICAR,Vecinal,URB LOS ALCAPARROS PARQUE 1,8,"-74,14053425358196","4,598270198267295"
19-750,3,Ciudad Bolivar,CERTIFICADO,Vecinal,URB BALMORAL CESIÓN GUADALUPE,19,"-74,16334581409039","4,594595912551961"
08-798,2,Kennedy,SIN CERTIFICAR,Bolsillo,URB CCB KENNEDY,8,"-74,1308202260357","4,607646362867078"
13-189,4,Teusaquillo,CERTIFICADO,Vecinal,URBANIZACIÓN INDUSTRIAL SREDNI,13,"-74,10937384559517","4,645434784104495"
19-761,3,Ciudad Bolivar,SIN CERTIFICAR,Vecinal,URB IQA,19,"-74,16937201754516","4,595476775924935"
16-414,4,Puente Aranda,SIN CERTIFICAR,Vecinal,URB AMÉRICAS FERROCARRIL,16,"-74,09804188260279","4,631433951541316"
08-801,2,Kennedy,SIN CERTIFICAR,Vecinal,URB OTERO DE FRANCISCO CTA 22,8,"-74,15325120224847","4,644792076270741"
08-804,3,Kennedy,SIN CERTIFICAR,Vecinal,URB PREDIO CARBOQUIMICA CESIÓN PARQUE,8,"-74,14066907498558","4,5961965191542"
17-027,2,Candelaria,SIN CERTIFICAR,Vecinal,URB U EXTERNADO,17,"-74,0661578946802","4,597700424856167"
08-806,2,Kennedy,SIN CERTIFICAR,Vecinal,URB VILLA MARIANA,8,"-74,1474832177255","4,642432319162195"
08-807,2,Kennedy,SIN CERTIFICAR,Vecinal,URB VILLA MARIANA,8,"-74,14585045648391","4,642085831833089"
08-808,2,Kennedy,SIN CERTIFICAR,Vecinal,URB SENDEROS DE CASTILLA,8,"-74,14961362182913","4,643153957604581"
08-809,2,Kennedy,SIN CERTIFICAR,Vecinal,URB PLAZA CASTILLA,8,"-74,14338494035512","4,646201323826812"
08-810,2,Kennedy,SIN CERTIFICAR,Vecinal,URB PARAÍSO DE CASTILLA,8,"-74,1453979719312","4,646807999310981"
08-811,3,Kennedy,SIN CERTIFICAR,Vecinal,URB RIVIERA REAL,8,"-74,12511844330677","4,624020969978794"
08-812,3,Kennedy,SIN CERTIFICAR,Vecinal,URB RIVIERA REAL,8,"-74,12552959322915","4,622775072563003"
13-190,4,Teusaquillo,SIN CERTIFICAR,Vecinal,URB GRAN ESTACIÓN,13,"-74,10269622926128","4,647039701262637"
