Identificador del parque,Estrato,Localidad,Estado Certificación,Clasificación del Parque,Nombre del Parque,Código Localidad,coord_x,coord_y
08-134,2,Kennedy,CERTIFICADO,Vecinal,UNIDAD VECINAL PASTRANA,8,"-74,16015363590607","4,615410136352051"
08-147,2,Kennedy,CERTIFICADO,Bolsillo,PATIO BONITO,8,"-74,16645829329354","4,6358220258433365"
08-744,3,Kennedy,CERTIFICADO,Vecinal,BAVARIA TECHO II SECTOR (TERMINACIÓN),8,"-74,13932261131663","4,638088380639414"
08-726,2,Kennedy,CERTIFICADO,Bolsillo,LAS PALMERAS,8,"-74,17026809153265","4,6434787555807855"
08-727,2,Kennedy,CERTIFICADO,Bolsillo,LAS PALMERAS,8,"-74,16991198273517","4,642988952627364"
03-043,3,Santa Fe,CERTIFICADO,Vecinal,PARQUE BAVARIA,3,"-74,07030708451846","4,61728293270296"
16-372,3,Puente Aranda,CERTIFICADO,Bolsillo,DESARROLLO CAMELIAS FUCHA II SECTOR,16,"-74,12384135023899","4,615316817121689"
03-004,3,Santa Fe,CERTIFICADO,Vecinal,SAN DIEGO (BOSQUE IZQUIERDO),3,"-74,06643458522004","4,61033552872395"
03-045,3,Santa Fe,SIN CERTIFICAR,Bolsillo,BOSQUE IZQUIERDO (J. TADEO LOZANO),3,"-74,06664552716589","4,607145895786344"
03-089,3,Santa Fe,CERTIFICADO,Vecinal,LA AGUADORA,3,"-74,06550013969519","4,611361951075439"
03-055,3,Santa Fe,INVESTIGADO NO CERTIFICADO,Vecinal,PERSEVERANCIA ( FRANCISCO JOSÉ DE CALDAS ),3,"-74,06660406003405","4,6099091694517655"
08-643,3,Kennedy,SIN CERTIFICAR,Vecinal,URBANIZACIÓN SANTA LUISA,8,"-74,15645184974929","4,61040123504925"
03-085,2,Santa Fe,INVESTIGADO NO CERTIFICADO,Metropolitano Existente,TERCER MILENIO,3,"-74,08185905794952","4,597488184605114"
02-123,4,Chapinero,CERTIFICADO,Vecinal,UNIVERSIDAD DE LA SALLE,2,"-74,0598847268367","4,644984706991252"
02-124,1,Chapinero,CERTIFICADO,Bolsillo,SAN MARTIN DE PORRES,2,"-74,05936086619394","4,632249994682878"
14-067,3,Martires,CERTIFICADO,Bolsillo,URBANIZACIÓN VERAGUAS,14,"-74,09871818195937","4,602652500103319"
16-406,3,Puente Aranda,CERTIFICADO,Bolsillo,URBANIZACIÓN INDUSTRIAL PENSILVANIA,16,"-74,09973193435077","4,614242377282137"
13-180,4,Teusaquillo,CERTIFICADO,Bolsillo,FUTURA,13,"-74,08434155358464","4,6283348171325445"
14-013,3,Martires,CERTIFICADO,Vecinal,RICAURTE,14,"-74,09407600567633","4,608974978282189"
08-598,3,Kennedy,CERTIFICADO,Bolsillo,KENNEDY SUPERMANZANA 6B (MODICASA),8,"-74,14641212092879","4,6180890214173695"
08-142,3,Kennedy,CERTIFICADO,Vecinal,CASTILLA,8,"-74,14115736952962","4,637609800259173"
16-323,3,Puente Aranda,CERTIFICADO,Vecinal,SANTA RITA III SECTOR ETAPA A,16,"-74,12133586177501","4,602434141929778"
03-133,1,Santa Fe,CERTIFICADO,Vecinal,DESARROLLO LA PAZ CENTRAL,3,"-74,06500052997183","4,606041299048355"
03-134,1,Santa Fe,CERTIFICADO,Bolsillo,DESARROLLO LA PAZ CENTRAL,3,"-74,06394320569589","4,605926122424814"
03-135,1,Santa Fe,CERTIFICADO,Bolsillo,DESARROLLO LA PAZ CENTRAL,3,"-74,06510454275445","4,606706591467294"
03-136,1,Santa Fe,CERTIFICADO,Vecinal,DESARROLLO LA PAZ CENTRAL,3,"-74,0643638871926","4,608313698342131"
16-410,3,Puente Aranda,SIN CERTIFICAR,Bolsillo,JAZMÍN I SECTOR,16,"-74,11494326650774","4,610766337919129"
02-151,1,Chapinero,CERTIFICADO,Bolsillo,DESARROLLO PARDO RUBIO,2,"-74,05846064782887","4,63343842845496"
02-149,1,Chapinero,CERTIFICADO,Bolsillo,DESARROLLO PARDO RUBIO,2,"-74,05827816990112","4,633131857607025"
02-147,1,Chapinero,CERTIFICADO,Bolsillo,DESARROLLO PARDO RUBIO,2,"-74,05793529867768","4,632639241785837"
02-148,1,Chapinero,CERTIFICADO,Bolsillo,DESARROLLO PARDO RUBIO,2,"-74,05744542085296","4,63249007362678"
03-013,2,Santa Fe,INVESTIGADO NO CERTIFICADO,Vecinal,LA PAZ,3,"-74,06610716771442","4,6065762245499435"
08-699,3,Kennedy,CERTIFICADO,Bolsillo,CIUDAD KENNEDY SUPERMANZANA 13,8,"-74,15779521243388","4,625507510780077"
08-709,3,Kennedy,INVESTIGADO NO CERTIFICADO,Bolsillo,VILLA ALSACIA LOTE 1,8,"-74,12463078252415","4,644216967208561"
13-040,5,Teusaquillo,CERTIFICADO,Vecinal,URBANIZACIÓN NICOLÁS DE FEDERMAN 2 SECTOR,13,"-74,0847510380305","4,647350587356266"
16-023,3,Puente Aranda,CERTIFICADO,Vecinal,SANTA MATILDE II SECTOR,16,"-74,11092244951683","4,600775689206401"
16-068,3,Puente Aranda,CERTIFICADO,Vecinal,LOS SAUCES (ANTES SAN JORGE CENTRAL III SECTOR),16,"-74,11648730474197","4,596978296633804"
16-072,3,Puente Aranda,CERTIFICADO,Vecinal,URBANIZACIÓN LA ESTACIÓN CENTRAL,16,"-74,09314963825169","4,620414494180986"
08-388,3,Kennedy,CERTIFICADO,Vecinal,URBANIZACIÓN BANDERAS,8,"-74,14994031439429","4,629980965278692"
02-185,1,Chapinero,CERTIFICADO,Bolsillo,DESARROLLO MARISCAL SUCRE,2,"-74,06063522074756","4,630286554854"
08-745,2,Kennedy,CERTIFICADO,Vecinal,PUESTO DE MONTA,8,"-74,12965620526022","4,620303516109242"
